label,Symbol,Frequency
1,A,159
2,B,61
3,C,134
4,D,58
5,E,54
6,F,56
7,G,118
8,H,64
9,I,100
10,J,104
11,K,96
12,L,111
13,M,120
14,N,105
15,O,84
16,P,72
17,Q,67
18,R,83
19,S,63
20,T,56
21,U,59
22,V,56
23,W,62
24,X,54
25,Y,56
26,Z,65
27,\rightarrow,1066
28,0,133
29,1,118
30,2,124
31,3,120
32,4,61
33,5,78
34,6,100
35,7,75
36,8,121
37,9,90
38,\pi,1533
39,\alpha,2601
40,\beta,1131
41,\sum,3400
42,\sigma,1123
43,a,86
44,b,57
45,c,67
46,d,58
47,e,63
48,f,66
49,g,56
50,h,58
51,i,59
52,j,53
53,k,58
54,l,56
55,m,57
56,n,61
57,o,62
58,p,55
59,q,69
60,r,61
61,s,59
62,u,57
63,v,63
64,w,56
65,x,66
66,y,58
67,z,60
68,\Sigma,1910
69,\gamma,1140
70,\Gamma,621
71,\delta,1246
72,\Delta,996
73,\zeta,872
74,\eta,686
75,\theta,651
76,\Theta,461
77,\epsilon,544
78,\varepsilon,741
79,\iota,156
80,\kappa,251
81,\varkappa,143
82,\lambda,996
83,\Lambda,441
84,\mu,1147
85,\nu,391
86,\xi,2567
87,\Xi,398
88,\Pi,799
89,\rho,692
90,\varrho,222
91,\tau,424
92,\phi,687
93,\Phi,607
94,\varphi,1522
95,\chi,929
96,\psi,562
97,\Psi,448
98,\omega,631
99,\Omega,823
100,\partial,2413
101,\int,3514
102,\cdot,755
103,\leq,1054
104,\geq,866
105,<,114
106,>,101
107,\subset,772
108,\supset,411
109,\subseteq,1576
110,\supseteq,404
111,\cong,1399
112,\propto,1385
113,-,118
114,+,90
115,\mathbb{R},56
116,\$,387
117,\{,1136
118,\copyright,241
119,\dots,138
120,\},321
121,\S,345
122,\dag,252
123,\pounds,150
124,\&,1286
125,\#,1067
126,\%,887
127,\checkmark,875
128,\circledR,119
129,\mathsection,127
130,\amalg,184
131,\cup,923
132,\oplus,1337
133,\times,1509
134,\ast,557
135,\triangleleft,133
136,\otimes,1076
137,\triangleright,152
138,\diamond,250
139,\pm,1528
140,\div,335
141,\bullet,350
142,\setminus,514
143,\uplus,184
144,\cap,1098
145,\mp,115
146,\sqcap,148
147,\vee,861
148,\odot,486
149,\sqcup,264
150,\wedge,1452
151,\circ,980
152,\ominus,101
153,\star,261
154,\wr,56
155,\barwedge,108
156,\circledcirc,113
157,\boxdot,121
158,\ltimes,221
159,\boxplus,105
160,\boxtimes,214
161,\rtimes,267
162,\circledast,118
163,\lhd,105
164,\prod,1112
165,\coprod,167
166,\oint,1186
167,\parr,95
168,\with,202
169,\fint,296
170,\varoiint,141
171,\oiint,320
172,\approx,2041
173,\equiv,2518
174,\not\equiv,383
175,\perp,1101
176,\asymp,150
177,\frown,90
178,\prec,523
179,\succ,362
180,\bowtie,240
181,\preceq,277
182,\succeq,201
183,\mid,336
184,\vdash,1068
185,\dashv,213
186,\models,474
187,\sim,2008
188,\doteq,180
189,\parallel,359
190,\simeq,880
191,\backsim,141
192,\multimap,99
193,\pitchfork,111
194,\therefore,762
195,\because,215
196,\between,94
197,\preccurlyeq,183
198,\varpropto,132
199,\Vdash,135
200,\vDash,453
201,\nmid,348
202,\nvDash,144
203,\sqsubseteq,288
204,\nsubseteq,199
205,\subsetneq,239
206,\varsubsetneq,98
207,\neq,1527
208,\geqslant,304
209,\gtrless,97
210,\lesssim,773
211,\gtrsim,641
212,\leqslant,398
213,\trianglelefteq,167
214,\blacktriangleright,60
215,\triangleq,569
216,\Downarrow,164
217,\downarrow,204
218,\Rightarrow,1759
219,\hookrightarrow,667
220,\Longleftrightarrow,240
221,\searrow,142
222,\longmapsto,181
223,\leftarrow,209
224,\Longrightarrow,270
225,\uparrow,227
226,\Leftarrow,140
227,\longrightarrow,243
228,\Leftrightarrow,1235
229,\mapsto,915
230,\leftrightarrow,505
231,\nearrow,201
232,\rightleftharpoons,209
233,\rightharpoonup,217
234,\leadsto,624
235,\circlearrowleft,167
236,\rightleftarrows,123
237,\circlearrowright,139
238,\rightrightarrows,139
239,\rightsquigarrow,171
240,\curvearrowright,163
241,\twoheadrightarrow,415
242,\nRightarrow,97
243,\nrightarrow,185
244,\upharpoonright,139
245,\mapsfrom,121
246,\shortrightarrow,275
247,\lightning,549
248,\vartheta,282
249,\varpi,146
250,\bot,733
251,\forall,2139
252,\ni,489
253,\top,336
254,\ell,903
255,\hbar,519
256,\in,2296
257,\notin,1306
258,\wp,356
259,\exists,1402
260,\Im,121
261,\Re,193
262,\nexists,312
263,\langle,762
264,\rangle,159
265,\lceil,347
266,\rceil,175
267,\lfloor,420
268,\rfloor,147
269,[,916
270,],259
271,|,511
272,\|,370
273,/,532
274,\llbracket,773
275,\rrbracket,175
276,\vdots,408
277,\ddots,399
278,\dotsc,150
279,\aleph,763
280,\infty,2914
281,\prime,147
282,\angle,240
283,\diamondsuit,111
284,\sharp,237
285,\backslash,260
286,\emptyset,950
287,\nabla,1217
288,\flat,127
289,\clubsuit,274
290,\heartsuit,910
291,\neg,843
292,\triangle,316
293,\sqrt{},978
294,\sphericalangle,103
295,\square,2179
296,\triangledown,194
297,\blacksquare,402
298,\lozenge,155
299,\varnothing,461
300,\vartriangle,112
301,\iddots,238
302,\mathcal{A},359
303,\mathcal{B},160
304,\mathcal{C},184
305,\mathcal{D},204
306,\mathcal{E},282
307,\mathcal{F},393
308,\mathcal{G},114
309,\mathcal{H},242
310,\mathcal{L},743
311,\mathcal{M},221
312,\mathcal{N},330
313,\mathcal{O},867
314,\mathcal{P},362
315,\mathcal{R},160
316,\mathcal{S},183
317,\mathcal{T},184
318,\mathcal{U},114
319,\mathcal{X},124
320,\mathcal{Z},156
321,\mathfrak{A},154
322,\mathfrak{M},110
323,\mathfrak{S},223
324,\mathfrak{X},115
325,\mathbb{1},948
326,\mathds{1},311
327,\mathds{C},417
328,\mathds{E},203
329,\mathds{N},1016
330,\mathds{P},198
331,\mathds{Q},222
332,\mathds{R},2378
333,\mathds{Z},1008
334,\mathscr{A},185
335,\mathscr{C},219
336,\mathscr{D},139
337,\mathscr{E},101
338,\mathscr{F},132
339,\mathscr{H},209
340,\mathscr{L},804
341,\mathscr{P},115
342,\mathscr{S},193
343,\celsius,329
344,\degree,671
345,\ohm,330
346,\venus,126
347,\mars,227
348,\astrosun,298
349,\fullmoon,142
350,\leftmoon,101
351,\female,176
352,\male,380
353,\checked,279
354,\diameter,195
355,\sun,163
356,\Bowtie,268
357,\mathbb{Q},53
358,\mathbb{N},51
359,\mathbb{Z},66
360,\mathbb{H},72
361,\ss,240
362,\aa,231
363,\L,99
364,\AA,758
365,\O,237
366,\o,314
367,\ae,286
368,\AE,149
369,\guillemotleft,107
